,,Data Barang Masuk,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
No.,Nama Barang,Qty,Harga Modal,Harga Jual,Total Harga Modal,Total Harga Jual,Harga 1 Renceng,Keuntungan,Tanggal Masuk,Tanggal Expired
1,Ekonomi Lemon 380 Gram,3,Rp4.500,Rp5.000,Rp13.500,Rp15.000,,Rp1.500,19-Agu-2026,
2,Clear Anti Ketombe 10 Gram,12,817,Rp1.000,Rp9.804,Rp12.000,,Rp2.196,19-Agu-2026,
3,Daia 43 Gram Soft Pink,6,Rp817,Rp1.000,Rp4.902,Rp6.000,,Rp1.098,19-Agu-2026,
4,Pepsodent White 120 Gram,1,Rp9.300,Rp10.000,Rp9.300,Rp10.000,,Rp700,19-Agu-2026,01-Jul-2029
5,Giv Hijab 72 Gram,2,Rp2.800,Rp3.500,Rp5.600,Rp7.000,,Rp1.400,19-Agu-2026,11-Jul-2029
6,Pepsodent Herbal 65 Gram,2,Rp5.600,Rp6.500,Rp11.200,Rp13.000,,Rp1.800,19-Agu-2026,10-Jul-2029
7,Harmony 70 Gram Melon,2,Rp2.600,Rp3.500,Rp5.200,Rp7.000,,Rp1.800,19-Agu-2026,01-Mei-2029
8,Giv Putih 72 Gram,2,Rp2.800,Rp3.500,Rp5.600,Rp7.000,,Rp1.400,19-Agu-2026,19-Jun-2029
9,Lifeboy 60 Gram Mild Biru,2,Rp2.900,Rp3.500,Rp5.800,Rp7.000,,Rp1.200,19-Agu-2026,04-Mar-2028
10,Daia 390 Gram Soft Pink,2,Rp8.700,Rp10.000,Rp17.400,Rp20.000,,Rp2.600,19-Agu-2026,
11,Molto Biru 18 Ml,12,Rp750,Rp1.000,Rp9.000,Rp12.000,,Rp3.000,19-Agu-2026,
12,Sunlight 260 Gram,2,Rp4.000,Rp5.000,Rp8.000,Rp10.000,,Rp2.000,19-Agu-2026,
13,Sunlight 610 Gram,1,Rp9.500,Rp10.000,Rp9.500,Rp10.000,,Rp500,19-Agu-2026,
14,Sari Wangi Isi 4 Kantong,6,Rp833,Rp1.000,Rp4.998,Rp6.000,,Rp1.002,19-Agu-2026,30-Jul-2027
15,Harmony 70 Gram Lemon,2,Rp2.600,Rp3.500,Rp5.200,Rp7.000,,Rp1.800,19-Agu-2026,01-Mei-2029
16,Indomie Goreng,5,Rp2.850,Rp3.500,Rp14.250,Rp17.500,,Rp3.250,19-Agu-2026,08-Mar-2027
17,Indomie Soto,5,Rp2.700,Rp3.500,Rp13.500,Rp17.500,,Rp4.000,19-Agu-2026,06-Apr-2027
18,Indomie Kari,5,Rp2.850,Rp3.500,Rp14.250,Rp17.500,,Rp3.250,19-Agu-2026,04-Apr-2027
19,Royco Sapi 8 Gram,12,Rp400,Rp1.000,Rp4.800,Rp12.000,,Rp7.200,19-Agu-2026,15-Apr-2027
20,"Masako Ayam 8,5 Gram",12,Rp400,Rp1.000,Rp4.800,Rp12.000,,Rp7.200,19-Agu-2026,18-Jul-2027
